,AGREEMENT_RK,TARGET,AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,FL_PRESENCE_FL,OWN_AUTO,FAMILY_INCOME,CREDIT,TERM,FST_PAYMENT,WORK_TIME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
19,59913985,0,28,1,0,1,0,0,15000.0,0,0,от 10000 до 20000 руб.,8918.0,6,1000.0,60.0,1,1.0
20,59914132,0,37,1,0,1,1,1,10000.0,1,0,от 10000 до 20000 руб.,10342.0,6,1200.0,192.0,1,1.0
21,59914133,0,42,1,0,1,1,1,10000.0,0,0,от 10000 до 20000 руб.,19857.0,6,6000.0,76.0,1,1.0
22,59914282,0,45,1,0,1,3,2,14000.0,0,0,от 10000 до 20000 руб.,13000.0,6,1500.0,120.0,1,1.0
23,59914348,0,32,1,0,1,0,0,10000.0,0,1,от 10000 до 20000 руб.,7300.0,6,3000.0,108.0,1,1.0
24,59914507,0,33,1,0,1,1,1,8000.0,0,0,от 10000 до 20000 руб.,12646.0,6,1500.0,24.0,1,1.0
25,59914532,0,38,1,0,1,1,1,13000.0,1,0,от 10000 до 20000 руб.,14619.0,6,1625.0,18.0,1,1.0
26,59914562,0,27,1,0,1,0,0,12500.0,0,1,от 20000 до 50000 руб.,3909.0,3,690.0,60.0,1,1.0
27,59914760,1,31,1,0,1,1,1,12000.0,0,0,от 20000 до 50000 руб.,30198.0,6,5752.0,15.0,1,1.0
28,59914815,0,40,1,0,0,1,1,20000.0,0,0,от 20000 до 50000 руб.,3390.0,6,400.0,2.0,1,1.0
29,59914912,0,63,0,1,1,0,0,5000.0,0,0,от 5000 до 10000 руб.,8000.0,3,5300.0,,1,1.0
30,59914934,0,40,1,0,1,3,2,11000.0,0,1,от 20000 до 50000 руб.,3307.0,4,583.0,96.0,1,1.0
31,59914938,0,27,1,0,0,1,1,15000.0,0,0,от 10000 до 20000 руб.,3490.0,3,4500.0,108.0,1,1.0
32,59915134,0,49,1,0,1,2,0,5000.0,0,0,от 5000 до 10000 руб.,9991.0,6,309.0,20.0,1,1.0
33,59915164,0,29,1,0,0,0,0,10000.0,0,1,от 20000 до 50000 руб.,10000.0,6,4700.0,12.0,1,1.0
34,59915192,0,61,1,0,1,0,0,13000.0,0,0,от 10000 до 20000 руб.,8118.0,3,8117.0,96.0,1,1.0
35,59915193,0,43,1,0,1,2,2,30000.0,0,1,от 20000 до 50000 руб.,26990.0,6,9000.0,12.0,1,1.0
36,59915275,0,38,1,0,0,0,0,23000.0,1,0,от 20000 до 50000 руб.,4869.66,6,1385.0,6.0,2,2.0
37,59915302,0,38,1,0,0,4,4,15000.0,0,1,от 20000 до 50000 руб.,8730.0,10,1000.0,120.0,1,1.0
38,59915312,0,49,1,0,0,2,0,10000.0,1,0,от 10000 до 20000 руб.,19989.0,6,2500.0,240.0,1,1.0
39,59915340,0,44,1,0,1,0,0,13000.0,0,0,от 10000 до 20000 руб.,5119.0,6,570.0,180.0,1,1.0
40,59915354,0,61,0,1,1,2,0,5000.0,0,0,от 5000 до 10000 руб.,13021.0,6,3000.0,,1,1.0
41,59915402,0,28,1,0,1,1,1,8000.0,0,0,от 10000 до 20000 руб.,4550.0,3,1000.0,3.0,2,2.0
42,59915484,0,31,1,0,0,1,1,20000.0,1,0,от 20000 до 50000 руб.,19240.0,36,0.0,96.0,1,1.0
43,59915500,0,59,0,1,1,0,0,4000.0,0,0,от 5000 до 10000 руб.,8880.0,6,1000.0,,1,1.0
44,59915564,0,54,1,0,1,2,0,8000.0,1,0,от 20000 до 50000 руб.,26820.0,10,2980.0,36.0,2,1.0
45,59915634,0,48,1,0,1,2,0,13000.0,1,0,от 10000 до 20000 руб.,13800.0,5,5000.0,144.0,1,1.0
46,59915800,0,24,1,0,0,0,0,50000.0,0,0,свыше 50000 руб.,45665.0,8,5100.0,30.0,1,1.0
47,59915970,0,48,1,0,1,0,0,15000.0,1,0,от 20000 до 50000 руб.,10000.0,6,4455.0,132.0,1,1.0
48,59916060,0,43,1,0,1,1,1,20000.0,0,0,от 20000 до 50000 руб.,18471.0,3,10000.0,72.0,2,1.0
49,59916079,0,23,1,0,0,1,1,18000.0,0,1,от 20000 до 50000 руб.,7850.0,3,3000.0,30.0,1,1.0
50,59916196,0,54,1,0,1,2,0,40000.0,0,0,свыше 50000 руб.,23166.0,5,2574.0,120.0,1,1.0
51,59916537,0,37,1,0,0,1,1,10000.0,0,1,от 10000 до 20000 руб.,7581.0,6,1338.0,14.0,1,1.0
52,59916782,0,47,1,0,1,0,0,20000.0,1,0,от 20000 до 50000 руб.,34335.0,6,3815.0,14.0,1,1.0
53,59917047,0,52,0,1,1,1,1,5700.0,0,0,от 10000 до 20000 руб.,3143.0,3,3000.0,,2,2.0
54,59917064,0,24,1,0,0,0,0,15000.0,0,0,от 10000 до 20000 руб.,10925.0,3,2000.0,36.0,2,2.0
55,59917071,0,48,1,0,1,0,0,11000.0,1,0,от 10000 до 20000 руб.,10570.0,4,5000.0,324.0,1,1.0
56,59917104,0,58,0,1,0,2,0,9000.0,0,0,от 10000 до 20000 руб.,14755.0,6,1640.0,,1,1.0
57,59917205,0,34,1,0,1,0,0,9000.0,0,0,от 20000 до 50000 руб.,6163.0,6,1087.0,29.0,1,1.0
58,59917790,0,31,1,0,1,0,0,12800.0,1,0,от 20000 до 50000 руб.,13441.0,10,7049.0,96.0,2,1.0
59,59917807,0,31,1,0,0,1,1,20000.0,0,0,от 20000 до 50000 руб.,16870.0,6,2000.0,12.0,1,1.0
60,59917814,1,35,1,0,1,1,1,15000.0,1,0,от 10000 до 20000 руб.,16400.0,6,3000.0,24.0,1,1.0
61,59917902,0,54,0,1,1,2,0,10000.0,0,0,от 10000 до 20000 руб.,5500.0,3,1000.0,,1,1.0
62,59918129,0,35,1,0,1,1,1,15000.0,0,0,от 20000 до 50000 руб.,4938.0,6,1500.0,72.0,1,1.0
63,59918141,0,61,0,1,1,2,0,5500.0,0,0,от 10000 до 20000 руб.,17990.0,6,5000.0,,1,1.0
64,59918142,0,52,1,0,0,0,1,7000.0,0,0,от 10000 до 20000 руб.,7920.0,5,880.0,360.0,1,1.0
65,59918152,1,34,1,0,0,2,2,6000.0,0,0,от 10000 до 20000 руб.,3000.0,3,790.0,180.0,1,1.0
66,59918243,0,44,1,0,0,3,3,11000.0,0,0,от 10000 до 20000 руб.,11070.0,6,1300.0,108.0,1,1.0
67,59918315,0,63,0,1,1,2,0,4800.0,0,0,от 5000 до 10000 руб.,3000.0,6,2490.95,,1,1.0
68,59918616,0,30,1,0,0,0,0,30000.0,0,0,от 20000 до 50000 руб.,9500.0,6,2500.0,48.0,1,1.0
69,59918705,0,27,1,0,1,0,0,5300.0,0,0,от 5000 до 10000 руб.,5690.0,6,5500.0,36.0,1,1.0
70,59918758,0,35,1,0,1,0,0,50000.0,1,0,свыше 50000 руб.,9907.2,3,2000.0,4.0,1,1.0
71,59919115,0,48,1,0,1,2,0,11000.0,1,0,от 10000 до 20000 руб.,15598.0,6,5000.0,120.0,2,2.0
72,59919158,0,29,1,0,1,1,1,11700.0,1,0,от 20000 до 50000 руб.,21050.0,12,3000.0,96.0,1,1.0
73,59919255,0,30,1,0,0,1,1,8000.0,0,0,от 10000 до 20000 руб.,5431.2,6,168.0,60.0,1,1.0
74,59919426,0,31,1,0,1,1,1,5000.0,1,0,от 10000 до 20000 руб.,4250.0,4,2000.0,24.0,2,2.0
75,59919466,0,51,1,0,1,2,0,7500.0,0,0,от 10000 до 20000 руб.,5400.0,6,3000.0,60.0,1,1.0
76,59919794,0,47,1,0,0,2,1,18000.0,1,1,от 20000 до 50000 руб.,3750.0,9,0.0,252.0,2,2.0
77,59919854,0,26,1,0,0,0,0,8000.0,0,0,от 5000 до 10000 руб.,4490.0,6,500.0,24.0,1,1.0
78,59920262,0,44,1,0,0,2,2,20000.0,0,0,от 20000 до 50000 руб.,8330.0,5,2200.0,120.0,1,1.0
79,59920457,1,33,1,0,1,1,1,10000.0,0,0,от 10000 до 20000 руб.,7795.0,6,7795.0,12.0,1,1.0
80,59920692,0,35,1,0,1,0,0,9000.0,0,0,от 10000 до 20000 руб.,3307.0,6,583.0,28.0,1,1.0
81,59920809,0,51,1,0,1,1,0,11000.0,1,0,от 10000 до 20000 руб.,21380.0,4,5000.0,300.0,1,1.0
82,59920871,0,43,1,0,1,1,1,15000.0,0,0,от 20000 до 50000 руб.,9990.0,6,3000.0,12.0,2,2.0
83,59920924,0,35,1,0,0,1,1,15000.0,0,1,от 10000 до 20000 руб.,5570.0,4,620.0,4.0,1,1.0
84,59921016,1,27,1,0,1,0,0,10000.0,0,0,от 10000 до 20000 руб.,9997.0,6,1120.0,12.0,1,1.0
85,59921388,0,54,1,0,1,0,0,15000.0,1,0,от 20000 до 50000 руб.,15190.0,6,7000.0,36.0,1,1.0
86,59921422,0,28,1,0,1,1,1,8000.0,0,0,от 20000 до 50000 руб.,3299.0,6,370.0,12.0,1,1.0
87,59921596,0,53,1,0,0,2,0,25000.0,0,1,от 20000 до 50000 руб.,10394.0,6,5000.0,72.0,1,1.0
88,59921625,0,29,1,0,1,1,1,11000.0,1,0,от 10000 до 20000 руб.,6843.0,4,4500.0,12.0,1,1.0
89,59921843,0,59,1,0,1,1,0,8500.0,0,0,от 10000 до 20000 руб.,8990.0,12,1000.0,48.0,1,1.0
90,59922010,0,56,1,0,0,3,0,4000.0,0,0,от 10000 до 20000 руб.,3610.0,10,410.0,24.0,1,1.0
91,59922118,0,37,1,1,1,3,3,15000.0,1,0,от 20000 до 50000 руб.,9137.0,3,1500.0,192.0,2,1.0
92,59922128,0,51,1,0,0,1,0,8000.0,0,0,от 10000 до 20000 руб.,10693.0,6,1887.0,196.0,1,1.0
93,59923054,0,63,1,0,0,1,0,10000.0,0,0,от 10000 до 20000 руб.,7199.0,6,800.0,24.0,1,1.0
94,59923107,0,31,1,0,0,0,0,18000.0,0,0,от 20000 до 50000 руб.,10000.0,6,3555.0,94.0,1,1.0
95,59923159,0,58,1,0,0,3,1,15000.0,0,0,от 20000 до 50000 руб.,21984.55,10,3880.0,108.0,1,1.0
96,59923161,0,48,1,0,0,2,0,12000.0,0,0,от 10000 до 20000 руб.,3140.0,4,350.0,25.0,1,1.0
97,59923165,0,37,1,0,1,1,1,7300.0,0,0,от 10000 до 20000 руб.,10953.0,4,11337.0,190.0,1,1.0
98,59923241,0,52,1,0,1,0,0,25000.0,1,0,от 20000 до 50000 руб.,8442.0,5,938.0,348.0,1,1.0
99,59923269,0,52,1,0,1,0,0,8000.0,1,0,от 10000 до 20000 руб.,5650.0,6,630.0,96.0,1,1.0
100,59923341,0,37,1,0,0,0,0,12000.0,0,1,от 10000 до 20000 руб.,8991.0,9,0.0,120.0,1,1.0
101,59923386,0,22,1,0,0,1,0,8000.0,0,0,от 10000 до 20000 руб.,18900.0,10,2100.0,10.0,1,1.0
102,59923424,0,36,1,0,1,2,2,10000.0,0,0,от 20000 до 50000 руб.,3906.0,6,500.0,205.0,1,1.0
103,59923546,0,37,1,0,0,1,1,14500.0,0,0,от 10000 до 20000 руб.,7452.4,6,1900.0,62.0,1,1.0
104,59923557,0,63,0,1,0,2,0,5000.0,0,0,от 5000 до 10000 руб.,7319.0,6,1292.0,,1,1.0
105,59923612,0,26,1,0,0,0,0,10000.0,1,0,от 10000 до 20000 руб.,20700.0,10,3000.0,14.0,2,1.0
106,59923663,1,57,0,1,1,0,0,3000.0,0,0,от 10000 до 20000 руб.,3280.0,6,3000.0,,2,2.0
107,59923678,0,45,1,0,1,1,1,5000.0,0,0,от 10000 до 20000 руб.,4947.0,6,873.0,12.0,1,1.0
108,59923884,0,22,1,0,0,1,2,12000.0,0,0,от 10000 до 20000 руб.,9621.0,6,1069.0,19.0,1,1.0
109,59924026,0,57,1,1,0,0,0,30000.0,0,1,от 20000 до 50000 руб.,37752.0,6,5148.0,48.0,1,1.0
110,59924048,0,57,0,1,0,0,0,6000.0,0,0,от 10000 до 20000 руб.,16720.0,6,2000.0,,1,1.0
111,59924146,0,39,1,0,0,2,2,27000.0,0,0,от 20000 до 50000 руб.,4950.0,4,2000.0,180.0,1,1.0
112,59924239,0,37,1,0,1,2,2,9000.0,0,0,от 20000 до 50000 руб.,11230.0,4,3000.0,120.0,1,1.0
113,59924607,0,41,1,0,0,0,0,18000.0,0,1,от 10000 до 20000 руб.,16190.0,4,1800.0,252.0,1,1.0
114,59925055,0,34,1,0,0,2,2,6000.0,0,0,от 10000 до 20000 руб.,10000.0,3,5670.0,24.0,2,2.0
115,59925110,0,44,1,0,0,1,0,15000.0,0,1,от 20000 до 50000 руб.,7800.0,5,15000.0,36.0,1,1.0
116,59925185,0,38,1,0,0,1,1,13500.0,1,0,от 20000 до 50000 руб.,3890.0,6,700.0,120.0,1,1.0
117,59925195,0,40,1,0,1,1,1,6500.0,0,0,от 10000 до 20000 руб.,5020.0,3,15000.0,120.0,1,1.0
118,59925200,0,40,1,0,0,2,2,14000.0,1,1,от 20000 до 50000 руб.,9050.0,4,12000.0,156.0,1,1.0
119,59925263,0,27,1,0,1,1,1,15000.0,0,1,от 20000 до 50000 руб.,27000.0,10,3000.0,16.0,1,1.0
120,59925320,0,29,1,0,0,1,1,20000.0,0,0,от 20000 до 50000 руб.,18984.0,5,1912.0,84.0,1,1.0
121,59925344,0,28,1,0,1,1,1,10000.0,0,0,от 20000 до 50000 руб.,4250.0,6,4000.0,12.0,1,1.0
122,59925421,0,41,1,0,1,2,1,8600.0,1,0,от 10000 до 20000 руб.,2881.0,6,509.0,38.0,1,1.0
123,59925539,0,39,1,0,1,1,1,35000.0,0,0,от 20000 до 50000 руб.,34804.0,6,4746.0,72.0,1,1.0
124,59925799,0,43,1,0,0,0,0,15000.0,0,1,от 20000 до 50000 руб.,6898.0,12,2000.0,144.0,1,1.0
125,59925843,0,57,0,1,1,0,0,8000.0,1,0,от 5000 до 10000 руб.,5970.0,3,5000.0,,2,2.0
126,59925872,0,50,1,0,1,0,0,15000.0,0,0,от 20000 до 50000 руб.,14611.0,5,769.0,216.0,1,1.0
127,59925882,0,38,1,0,0,4,4,38000.0,1,1,от 20000 до 50000 руб.,19590.0,8,7000.0,36.0,3,2.0
128,59925955,0,51,1,0,1,0,0,25000.0,1,0,от 20000 до 50000 руб.,3590.0,4,1000.0,72.0,1,1.0
129,59926091,1,54,1,0,1,1,1,11000.0,1,0,от 20000 до 50000 руб.,22072.0,6,8008.0,15.0,1,1.0
130,59926221,0,35,1,0,1,1,1,15000.0,0,0,от 20000 до 50000 руб.,8132.0,5,2239.0,70.0,1,1.0
131,59926263,0,27,1,0,1,2,2,10000.0,0,0,от 20000 до 50000 руб.,27356.0,12,4000.0,10.0,1,1.0
132,59926295,0,48,1,0,1,2,0,6000.0,1,0,от 10000 до 20000 руб.,3500.0,6,1000.0,24.0,1,1.0
133,59926408,0,50,1,0,1,0,0,12000.0,0,0,от 20000 до 50000 руб.,16680.0,3,5320.0,48.0,1,1.0
134,59926549,0,41,1,0,1,2,2,5000.0,0,0,от 5000 до 10000 руб.,3034.0,5,535.0,228.0,1,1.0
135,59926704,0,42,1,0,1,1,1,10000.0,1,0,от 10000 до 20000 руб.,6690.0,3,2000.0,126.0,2,2.0
136,59926732,0,29,1,0,0,1,1,6200.0,0,0,от 10000 до 20000 руб.,6990.0,6,6000.0,3.0,1,1.0
137,59926912,0,27,1,0,0,0,0,10000.0,0,0,от 20000 до 50000 руб.,2090.0,6,0.0,24.0,1,1.0
138,59926936,0,40,1,0,0,2,2,20000.0,1,0,от 20000 до 50000 руб.,7080.0,6,1000.0,24.0,1,1.0
139,59927010,0,29,1,0,1,0,0,15000.0,0,0,от 10000 до 20000 руб.,7380.0,6,1302.0,18.0,1,1.0
140,59927078,0,53,1,0,1,0,0,6000.0,0,0,от 5000 до 10000 руб.,5695.0,6,1005.0,120.0,1,1.0
141,59927260,0,46,1,0,0,1,0,8000.0,0,0,от 10000 до 20000 руб.,9100.0,4,6000.0,48.0,1,1.0
142,59927432,0,57,0,1,1,2,0,7000.0,0,0,от 10000 до 20000 руб.,7360.0,9,1000.0,,1,1.0
143,59927451,0,32,1,0,1,1,1,10500.0,0,0,от 10000 до 20000 руб.,4430.0,5,500.0,60.0,1,1.0
144,59927525,0,56,1,0,1,0,0,170000.0,1,0,от 20000 до 50000 руб.,12500.0,4,1457.0,120.0,1,1.0
145,59927554,0,51,1,1,1,0,0,15000.0,0,0,от 10000 до 20000 руб.,5694.0,12,1005.0,312.0,1,1.0
146,59927584,0,31,1,0,1,2,2,15000.0,1,0,от 10000 до 20000 руб.,17990.0,6,3000.0,28.0,1,1.0
147,59927613,0,51,1,0,1,2,0,10000.0,0,0,от 10000 до 20000 руб.,3690.0,9,410.0,42.0,1,1.0
148,59927690,0,43,1,0,1,1,1,8000.0,0,0,от 10000 до 20000 руб.,13120.0,6,13650.0,360.0,1,1.0
149,59927793,0,35,1,0,1,1,1,10000.0,0,0,от 10000 до 20000 руб.,30471.0,6,4000.0,13.0,2,2.0
150,59927798,0,38,1,0,1,0,0,9000.0,0,0,от 10000 до 20000 руб.,5500.0,6,1000.0,30.0,1,1.0
151,59927827,0,55,1,0,0,0,0,20000.0,1,0,от 20000 до 50000 руб.,43515.0,5,30000.0,420.0,1,1.0
152,59927916,0,37,1,0,1,2,2,60000.0,0,0,свыше 50000 руб.,83106.0,6,20000.0,7.0,1,1.0
153,59927923,0,38,1,0,0,2,2,10000.0,0,1,от 10000 до 20000 руб.,9000.0,6,1100.0,108.0,1,1.0
154,59928049,0,23,1,0,1,2,2,8000.0,0,0,от 5000 до 10000 руб.,4520.0,6,1150.0,48.0,1,1.0
155,59928086,0,53,1,0,0,2,0,7000.0,0,1,от 20000 до 50000 руб.,21550.0,8,5000.0,360.0,1,1.0
156,59928106,0,40,1,0,0,2,0,7800.0,0,0,от 10000 до 20000 руб.,6750.0,6,750.0,180.0,2,2.0
157,59928443,0,59,1,1,1,3,1,18000.0,1,0,свыше 50000 руб.,20690.0,12,2300.0,180.0,4,2.0
158,59928497,0,37,1,0,1,2,2,10000.0,0,0,от 10000 до 20000 руб.,5000.0,3,7500.0,24.0,1,1.0
159,59928561,1,27,1,0,0,2,2,12000.0,1,0,от 10000 до 20000 руб.,6600.0,6,1170.0,12.0,2,2.0
160,59928609,0,63,1,0,1,0,0,25000.0,0,0,от 20000 до 50000 руб.,5390.0,3,600.0,120.0,1,1.0
161,59928861,0,57,1,0,1,0,0,12000.0,0,0,от 10000 до 20000 руб.,9750.0,4,16000.0,240.0,1,1.0
162,59928901,1,42,1,0,0,0,0,15000.0,0,1,от 10000 до 20000 руб.,2889.0,3,1500.0,216.0,2,2.0
163,59928942,0,31,1,0,0,2,2,10000.0,0,0,от 10000 до 20000 руб.,29700.0,12,3300.0,84.0,3,2.0
164,59929169,0,33,1,0,1,2,2,3300.0,0,0,от 5000 до 10000 руб.,2890.0,4,510.0,85.0,1,1.0
165,59929176,0,31,1,0,0,1,2,30000.0,0,0,от 20000 до 50000 руб.,29615.0,12,5226.9,27.0,2,1.0
166,59929197,0,51,1,0,1,2,0,8000.0,1,0,от 10000 до 20000 руб.,5740.0,6,500.0,336.0,2,1.0
167,59929552,0,28,1,0,0,1,2,25000.0,0,0,от 20000 до 50000 руб.,4673.0,5,150.0,40.0,2,2.0
168,59929697,0,27,1,0,1,1,1,6000.0,0,0,от 10000 до 20000 руб.,5490.0,6,4500.0,36.0,1,1.0
169,59929797,0,48,1,0,0,1,1,10000.0,0,1,от 10000 до 20000 руб.,11590.0,6,1300.0,36.0,1,1.0
170,59929832,0,24,1,0,0,1,1,6500.0,0,0,от 5000 до 10000 руб.,35530.0,12,5000.0,12.0,1,1.0
171,59929846,0,29,1,0,0,1,1,25000.0,1,0,от 20000 до 50000 руб.,5436.0,6,4000.0,12.0,1,1.0
172,59929855,0,66,1,1,1,1,0,9300.0,1,0,от 5000 до 10000 руб.,3350.0,4,1000.0,468.0,1,1.0
173,59929948,0,49,1,0,0,1,1,10000.0,0,0,от 10000 до 20000 руб.,3690.0,6,410.0,96.0,1,1.0
174,59930128,0,23,1,0,0,0,0,15000.0,0,0,свыше 50000 руб.,6990.0,3,6000.0,24.0,1,1.0
175,59930152,0,34,1,0,0,1,1,8000.0,1,0,от 10000 до 20000 руб.,8880.0,6,0.0,60.0,1,1.0
176,59930194,1,35,1,0,0,0,0,13000.0,0,0,от 10000 до 20000 руб.,11727.0,6,1303.0,6.0,1,1.0
177,59930219,0,34,1,0,1,1,1,18000.0,1,0,от 20000 до 50000 руб.,32800.0,3,3700.0,120.0,2,2.0
178,59930389,0,49,1,0,1,0,0,10000.0,0,0,от 10000 до 20000 руб.,13920.0,10,5000.0,36.0,1,1.0
179,59930422,0,29,1,0,0,0,0,20000.0,0,0,от 10000 до 20000 руб.,24330.0,6,10000.0,18.0,2,2.0
180,59930424,0,57,1,0,0,3,0,12000.0,0,1,от 10000 до 20000 руб.,12999.0,6,2000.0,72.0,1,1.0
181,59930490,0,63,1,1,1,3,0,20000.0,0,0,от 20000 до 50000 руб.,37880.0,3,4300.0,410.0,1,1.0
182,59930738,0,33,1,0,0,0,0,35000.0,0,1,от 20000 до 50000 руб.,16730.0,6,4200.0,48.0,1,1.0
183,59930942,0,50,0,1,1,1,0,8000.0,0,0,от 10000 до 20000 руб.,40000.0,8,12300.0,,1,1.0
184,59931044,0,48,1,0,1,0,0,18000.0,0,0,от 20000 до 50000 руб.,17466.0,5,1759.0,168.0,1,1.0
185,59931084,0,36,1,0,1,1,0,17000.0,0,1,от 20000 до 50000 руб.,6800.0,4,4000.0,60.0,1,1.0
186,59931383,0,34,1,0,0,2,2,6000.0,1,0,от 10000 до 20000 руб.,6100.0,12,1000.0,12.0,2,1.0
187,59931442,0,23,1,0,0,0,0,5500.0,0,0,от 5000 до 10000 руб.,4888.0,6,862.0,23.0,1,1.0
188,59931474,0,29,1,0,0,0,0,28000.0,1,0,от 20000 до 50000 руб.,18643.0,5,1877.0,18.0,1,1.0
189,59931501,0,47,1,0,1,2,0,9000.0,0,0,от 10000 до 20000 руб.,7900.0,6,500.0,84.0,1,1.0
190,59931579,0,34,1,0,1,1,1,14000.0,0,0,от 10000 до 20000 руб.,20000.0,8,3484.0,36.0,1,1.0
191,59931599,0,57,0,1,1,0,0,9000.0,0,0,от 20000 до 50000 руб.,13990.0,5,6000.0,,1,1.0
192,59931767,0,53,1,0,1,0,0,7000.0,0,0,от 5000 до 10000 руб.,9850.0,4,1100.0,12.0,1,1.0
193,59931796,0,61,0,1,1,0,0,7000.0,1,0,от 5000 до 10000 руб.,4000.0,6,1055.0,,1,1.0
194,59931959,0,34,1,0,1,2,2,10000.0,0,0,от 5000 до 10000 руб.,12650.0,10,3000.0,96.0,1,1.0
195,59931983,1,47,1,0,1,1,0,25000.0,1,0,от 20000 до 50000 руб.,3196.0,5,2131.0,60.0,1,1.0
196,59932008,0,24,1,0,0,0,0,20000.0,0,1,от 20000 до 50000 руб.,13598.0,6,1600.0,24.0,1,1.0
197,59932142,0,56,0,1,1,0,0,10000.0,1,0,от 20000 до 50000 руб.,13000.0,6,4000.0,,1,1.0
198,59932520,0,42,1,0,0,1,0,10000.0,0,0,от 10000 до 20000 руб.,11680.0,6,1300.0,6.0,1,1.0
199,59932632,0,62,1,1,1,0,0,15000.0,0,0,от 10000 до 20000 руб.,41100.0,12,0.0,36.0,2,2.0
200,59932724,1,37,1,0,1,2,2,12000.0,0,0,от 20000 до 50000 руб.,10530.0,10,1170.0,50.0,2,2.0
201,59932922,0,41,1,0,1,2,0,15000.0,1,0,от 20000 до 50000 руб.,6299.0,6,1200.0,1.0,1,1.0
202,59933024,0,49,1,0,1,1,1,2300.0,0,0,от 10000 до 20000 руб.,5750.0,6,640.0,36.0,1,1.0
203,59933083,1,25,1,0,1,0,0,12000.0,0,0,от 10000 до 20000 руб.,7500.0,6,2000.0,30.0,1,1.0
204,59933136,0,39,1,0,0,1,1,20000.0,1,0,от 20000 до 50000 руб.,3600.0,3,4000.0,48.0,2,2.0
205,59933153,0,25,1,0,0,0,0,12000.0,0,0,от 10000 до 20000 руб.,5870.0,3,4330.0,24.0,1,1.0
206,59933221,0,44,1,0,1,1,1,7000.0,0,0,от 5000 до 10000 руб.,9700.0,6,10000.0,96.0,1,1.0
207,59933246,1,23,1,0,1,1,1,12000.0,1,0,от 20000 до 50000 руб.,11786.85,5,1309.65,36.0,1,1.0
208,59933395,0,27,1,0,0,1,1,15000.0,0,1,от 20000 до 50000 руб.,4700.0,3,6000.0,7.0,1,1.0
209,59933459,0,36,1,0,1,0,0,8000.0,1,0,от 5000 до 10000 руб.,10590.0,12,6000.0,38.0,2,2.0
210,59933661,0,47,1,0,1,1,0,30000.0,0,0,от 20000 до 50000 руб.,14400.0,3,6000.0,18.0,1,1.0
